X,Y,Z
-111.6803759,45.57219114,1543
-111.6803854,45.57219619,1543
-111.6786722,45.57489412,1539
-111.6786228,45.57540651,1533
-111.678973,45.57555738,1527
-111.6787472,45.57508018,1537
-111.6790145,45.5744382,1538
-111.6790325,45.57433338,1538
-111.6790449,45.57413411,1539
-111.6802678,45.57283216,1536
-111.6801628,45.57262556,1540
-111.6803923,45.57207639,1544
-111.6799522,45.57162142,1547
-111.679631,45.57048252,1560
-111.6796724,45.57045659,1561
-111.6796471,45.57036633,1562
-111.6792971,45.56992619,1563
-111.6793399,45.56988121,1564
-111.6797872,45.56955554,1566
-111.6800867,45.56969437,1570
-111.6800719,45.56967202,1570
-111.6802382,45.56973209,1571
-111.6803138,45.56979238,1570
-111.6803182,45.56979956,1569
-111.6802831,45.56982159,1570
-111.6804041,45.56993293,1567
-111.6807528,45.56991435,1561
-111.6807708,45.56991326,1561
-111.680581,45.56970879,1568
-111.6806706,45.56967453,1559
-111.67,45.57,1510
-111.67,45.56,1568
-111.675,45.566,1556
-111.680543,45.570026,1563
-111.680505,45.567026,1546
-111.682447,45.565325,1544
-111.680248,45.565667,1554
-111.679035,45.565097,1560
-111.680818,45.574479,1485
-111.678983,45.575459,1528
-111.67865,45.575072,1538
-111.678918,45.57678,1503
-111.67777,45.573656,1524
-111.678629,45.574315,1539
-111.677899,45.573346,1524
-111.670742,45.572744,1508
-111.672265,45.572654,1511
-111.675444,45.570225,1522
 -111.680513,45.569704,1569
-111.681886,45.570891,1536
